station code,Station name,srcStateName,srcYear,Minimum temperature for medium and minor rivers,Maximum temperature for medium and minor rivers,Minimum value of dissolved oxygen,Maximum value of dissolved oxygen,Minimum potential of Hydrogen value in water,Maximum potential of Hydrogen value in water,Minimum Conductivity Level,Maximum Conductivity Level,Minimum Biochemical oxygen demand,Maximum Biochemical oxygen demand,Minimum  of Nitrate N + Nitrite N required for medium and minor rivers,Maximum  of Nitrate N + Nitrite N required for medium and minor rivers,Minimum  of Faecal Coliforms for medium and minor rivers,Maximum   of Faecal Coliforms for medium and minor rivers,Minimum  of total coliform for medium and minor rivers,Maximum  of total coliform for medium and minor rivers,YearCode,Year
2937,"LAKE SILISERH, ALWAR, RAJASTHAN",RAJASTHAN,2014,16,30,4.9,5.8,7.5,8,190,270,0.4,1.1,0.5,0.8,4,4,4,9,2014,"Calendar Year (Jan - Dec), 2014"
2942,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 2, RAJASTHAN",RAJASTHAN,2014,11,30,5.4,9.1,8.3,8.9,530,650,0.7,1.8,0.4,1,4,4,4,210,2014,"Calendar Year (Jan - Dec), 2014"
2941,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 1, RAJASTHAN",RAJASTHAN,2014,10,30,5.3,8.9,8.3,8.9,490,640,0.7,1.7,0.5,1,4,7,4,210,2014,"Calendar Year (Jan - Dec), 2014"
2936,"JAISAMAND LAKE, ALWAR, RAJASTHAN",RAJASTHAN,2014,16,31,5.3,5.6,7.4,8,210,410,0.7,1.8,0.4,0.6,4,4,4,14,2014,"Calendar Year (Jan - Dec), 2014"
2935,"LAKE JET SAGAR, BUNDI, RAJASTHAN",RAJASTHAN,2014,19,34,2.8,5.8,7.3,8.1,350,470,0.9,3.6,0.4,1,4,20,21,210,2014,"Calendar Year (Jan - Dec), 2014"
1714,"KAYALANA JHEEL JODHPUR, RAJASTHAN",RAJASTHAN,2014,12,29,5.4,10.5,7.8,9.1,200,300,0.4,1.6,0.3,0.6,4,4,4,150,2014,"Calendar Year (Jan - Dec), 2014"
1481,"FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN",RAJASTHAN,2014,14,31,3.7,9,8.2,8.8,560,680,0.7,1.6,0.5,0.8,4,4,4,120,2014,"Calendar Year (Jan - Dec), 2014"
1414,"PUSHKAR LAKE, RAJASTHAN",RAJASTHAN,2014,20,33,2.9,6.4,7.4,8.8,190,460,1.1,3.9,0.5,1.2,4,21,150,1100,2014,"Calendar Year (Jan - Dec), 2014"
1286,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.) RAJASTHAN,RAJASTHAN,2014,14,31,4,7.9,8.1,9.1,710,1550,2.2,8.7,0.5,1.76,4,28,75,2400,2014,"Calendar Year (Jan - Dec), 2014"
1285,"PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT), RAJASTHAN",RAJASTHAN,2014,14,31,4.7,8.8,8.2,8.7,360,610,0.9,2.6,0.4,0.84,4,7,7,210,2014,"Calendar Year (Jan - Dec), 2014"
3163,"HITKASA TAILINGDAM, RAJHARA",CHHATTISGARH,2014,23,26,6,12,7.2,7.4,,,6,18,0.1,0.5,,,240,1100,2014,"Calendar Year (Jan - Dec), 2014"
3164,"NEHRU NAGAR TALAB, BHILAI",CHHATTISGARH,2014,25,26,5.7,6.8,6.8,7.6,,,8,22,0.4,1.2,,,210,460,2014,"Calendar Year (Jan - Dec), 2014"
3303,"RANI TALAB, REWA",MADHYA PRADESH,2014,20,31,6,7.2,7.1,7.8,114,612,1.9,2.9,1.1,5.4,0,0,50,170,2014,"Calendar Year (Jan - Dec), 2014"
3301,MOTI TALAB AT BALAGHAT,MADHYA PRADESH,2014,22,28,6.8,7.6,6.9,9.7,390,664,2.1,12,0,2,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3300,"RANITAL TALAB, JABALPUR",MADHYA PRADESH,2014,22,32,5.8,7.4,7.2,8.5,239,642,1,16,0,160.4,,,,,2014,"Calendar Year (Jan - Dec), 2014"
3299,HANUMANTAL JABALPUR,MADHYA PRADESH,2014,22,30,5.6,7.6,6.7,8.9,289,671,2,14,0,2,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2135,GOVINDGARH TANK,MADHYA PRADESH,2014,20,37,6.2,8.6,7,7.8,375,492,2,3.2,1.4,5.9,4,21,50,280,2014,"Calendar Year (Jan - Dec), 2014"
2134,NAGCHUN TALAB AT KHANDWA,MADHYA PRADESH,2014,19,30,4.2,7.6,7.2,8.9,315,448,0.8,1.6,0.2,1.3,,,112,920,2014,"Calendar Year (Jan - Dec), 2014"
2133,SIRPUR TALAB AT INDORE,MADHYA PRADESH,2014,22,30,6,63.7,7.3,8.9,293,496,1.1,2.5,0.9,5.6,,,38,280,2014,"Calendar Year (Jan - Dec), 2014"
2132,BILAWALI TALAB AT INDORE,MADHYA PRADESH,2014,22,30,6,8.9,7.2,8.3,314,538,1.1,12,2,5.5,,,110,280,2014,"Calendar Year (Jan - Dec), 2014"
2131,YASHWANT SAGAR AT INDORE,MADHYA PRADESH,2014,,,,,,,,,,,,,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2130,"MADHAV LAKE, SHIVPURI",MADHYA PRADESH,2014,17,34,6.4,7.7,7.2,7.6,400,714,1.2,4,0,0,,,,,2014,"Calendar Year (Jan - Dec), 2014"
2129,PERIAT TANK JABALPUR,MADHYA PRADESH,2014,22,28,7,7.8,7.1,8.3,197,673,1,4.2,0.2,32,3,3,6,17,2014,"Calendar Year (Jan - Dec), 2014"
2128,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH,2014,23,28,5.6,7.8,7.2,8,124,1079,1,9,0,0,9,21,6,170,2014,"Calendar Year (Jan - Dec), 2014"
1374,LOWER LAKE AT BHOPAL OUTLET M.P.,MADHYA PRADESH,2014,,,7.9,7.9,8.2,8.2,278,278,1.7,1.7,1.5,1.5,,,90,90,2014,"Calendar Year (Jan - Dec), 2014"
2139,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,2014,,,7.3,7.3,8.3,8.3,280,280,2.8,2.8,2.4,2.4,,,140,140,2014,"Calendar Year (Jan - Dec), 2014"
2138,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,2014,,,7.5,7.5,8.3,8.3,280,280,2.5,2.5,2.1,2.1,,,130,130,2014,"Calendar Year (Jan - Dec), 2014"
2137,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH,2014,,,5.5,5.5,8.9,8.9,425,425,4.3,4.3,6.7,6.7,,,170,170,2014,"Calendar Year (Jan - Dec), 2014"
1977,CITY LAKE OF NADIAD,GUJARAT,2014,30,30,4.6,4.6,8,8,1654,1654,8.2,8.2,0.2,0.2,17,17,40,40,2014,"Calendar Year (Jan - Dec), 2014"
3405,"BURIGAON AT BISHALGARH, WEST TRIPURA",TRIPURA,2016,26,27,6.5,8,7.4,8,125,199,1.9,3.9,0.5,1.4,200,240,350,400,2016,"Calendar Year (Jan - Dec), 2016"
3415,"DHALAI D/S KAMALPUR, DHALAI",TRIPURA,2016,25,27,5.2,6.1,6.2,7,92,129,0.9,2.2,0.2,0.4,200,350,350,430,2016,"Calendar Year (Jan - Dec), 2016"
3416,"DHALAI AT MANIK BHANDHER, DHALAI",TRIPURA,2016,25,27,5.3,6.6,6.4,7.4,89,118,0.6,1.8,0.2,0.5,170,350,280,430,2016,"Calendar Year (Jan - Dec), 2016"
3420,"LONGAI AT DAMCHERRA (INTERSTATE BOUNDRY), NORTH TRIPURA",TRIPURA,2016,26,27,5.6,6.8,6.2,7.3,92,127,2.1,3.3,0.3,0.7,170,240,280,350,2016,"Calendar Year (Jan - Dec), 2016"
3421,"JURI AT KRISHNAPUR, D/S OF DHARMANAGAR, NORTH TRIPURA",TRIPURA,2016,26,27.5,9.2,10,6.2,7.2,71,93,2.8,4.9,0.5,1.1,170,280,280,350,2016,"Calendar Year (Jan - Dec), 2016"
3422,DEO D/S PECHARTHAL NORTH TRIPURA,TRIPURA,2016,25,27,3,4.7,6.4,7.4,81,127,0.1,0.2,0.2,0.7,200,350,350,430,2016,"Calendar Year (Jan - Dec), 2016"
2838,BARAK NEAR NONEY (NH 35) TML DIST.,MANIPUR,2016,26,29,6.2,8.2,7,7.2,83,130,0.8,1,0,0,,,56,56,2016,"Calendar Year (Jan - Dec), 2016"
2852,MANIPUR AT SEKMAIJING (TBL DIST.),MANIPUR,2016,26,32,4.2,10.5,7.2,8.2,79,291,1,3.3,0,0,,,30,85,2016,"Calendar Year (Jan - Dec), 2016"
2854,THOUBAL AT PHADOM (TBL DIST.),MANIPUR,2016,26,30,5.2,8.6,7.1,8,172,330,1.6,2,0,0,,,35,36,2016,"Calendar Year (Jan - Dec), 2016"
2855,WANGJING AT HEIROK (TBL DIST.),MANIPUR,2016,26,34,4,10.1,7.1,7.7,102,342,2.4,4.3,0,0,,,5,110,2016,"Calendar Year (Jan - Dec), 2016"
2856,THOUBAL AT YAIRIPOK (THOUBAL DIST.),MANIPUR,2016,26,33,3.9,10.7,7.4,8.2,109,249,1.3,5.3,0,0,,,10,70,2016,"Calendar Year (Jan - Dec), 2016"
2857,MANIPUR AT THOUBAL,MANIPUR,2016,27,30,8.1,10.9,7.2,8.2,107,327,0.4,4.7,0,0,,,20,35,2016,"Calendar Year (Jan - Dec), 2016"
2858,"NAMBUL AT SHAMUSHANG, UK ROAD (IMPHAL WEST)",MANIPUR,2016,26,31,3.4,8.9,6.2,7.6,70,628,1.8,5,0,0,,,5,10,2016,"Calendar Year (Jan - Dec), 2016"
2860,NAMBUL AT NAOREMTHONG (IMPHAL WEST),MANIPUR,2016,27,31,3.6,8.5,6.6,7.5,77,765,1.5,7,0,0,,,25,60,2016,"Calendar Year (Jan - Dec), 2016"
2861,KANGLA MOAT (IMPHAL WEST),MANIPUR,2016,27,31,3.9,7.5,7.1,8.8,156,397,1.9,7.7,0,0,,,50,155,2016,"Calendar Year (Jan - Dec), 2016"
2862,IMPHAL AT SHAMUROU ( IMPHAL WEST),MANIPUR,2016,27,30,4,9,7,7.9,76,184,0.4,9,0,0,,,10,50,2016,"Calendar Year (Jan - Dec), 2016"
2863,IRIL AT KANGLA SIPHAI (IMPHAL EAST),MANIPUR,2016,26,30,4.6,8.7,7.1,8.2,90,350,0.8,5.1,0,0,,,25,60,2016,"Calendar Year (Jan - Dec), 2016"
2864,IMPHAL AT SEKMAI (IMPHAL EAST),MANIPUR,2016,26,30,5.1,10.1,7,8,64,296,0.2,2,0,0,,,30,45,2016,"Calendar Year (Jan - Dec), 2016"
2865,"JIRI AT JARIMUKH, JIRIBAM (IMPHAL EAST)",MANIPUR,2016,32,32,8.2,8.2,7.4,7.4,120,120,1.9,1.9,0,0,,,46,46,2016,"Calendar Year (Jan - Dec), 2016"
2866,JIRI AT JIRI (IMPHAL EAST),MANIPUR,2016,27,32,6.2,8,6.9,7.2,92,110,1,1.4,0,0,,,80,80,2016,"Calendar Year (Jan - Dec), 2016"
2867,MAHA AT CHANDEL,MANIPUR,2016,26,31,4.3,10.9,7.2,8.2,50,222,1.3,6.7,0,0,,,10,40,2016,"Calendar Year (Jan - Dec), 2016"
2868,CHAKPI AT CHAKPIKARONG CHANDEL,MANIPUR,2016,26,33,5.2,10.1,7.2,8.3,99,218,1,2.4,0,0,,,15,80,2016,"Calendar Year (Jan - Dec), 2016"
2869,BARAK AT SENAPATI,MANIPUR,2016,26,30,5,10.5,7,8,45,324,0.7,5.7,0,0,,,20,40,2016,"Calendar Year (Jan - Dec), 2016"
2870,"THOUBAL AT SONGKHONG, (UKHRUL DIST.)",MANIPUR,2016,27,30,8.7,9.8,6.9,8,128,394,3.5,4.3,0,0,,,65,70,2016,"Calendar Year (Jan - Dec), 2016"
2871,"THOUBAL AT YONGUL KONG, (UKHRUL DIST.)",MANIPUR,2016,29,29,5.3,5.3,7.6,7.6,90,90,1.2,1.2,0,0,,,35,35,2016,"Calendar Year (Jan - Dec), 2016"
2872,THOUBAL AT LITAN (UKHRUL DIST.),MANIPUR,2016,25,31,5.7,9.9,6.9,7.8,50,300,0.6,4.9,0,0,,,28,55,2016,"Calendar Year (Jan - Dec), 2016"
2873,IRIL AT LILONG (THOUBAL DIST.),MANIPUR,2016,27,30,5.8,9.7,7.1,8,93,367,0.6,6.2,0,0,,,40,95,2016,"Calendar Year (Jan - Dec), 2016"
2874,IRANG AT TAMENGLONG,MANIPUR,2016,25,30,6,9.8,7.6,8.4,79,246,0.9,1.2,0,0,,,10,10,2016,"Calendar Year (Jan - Dec), 2016"
2875,BARAK AT NH 53(TAMENGLONG DIST.),MANIPUR,2016,25,25,5,5,7.8,7.8,81,81,1,1,0,0,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2876,WANGJING AT WANGJING (THOUBAL DIST.),MANIPUR,2016,26,34,3.7,10.5,6.7,7.7,72,268,0.6,4.1,0,0,,,20,40,2016,"Calendar Year (Jan - Dec), 2016"
2878,LOKCHAO AT BISHNUPUR DIST.,MANIPUR,2016,27,30,6.8,8.7,7.2,8.8,86,245,0.4,4.5,0,0,,,5,45,2016,"Calendar Year (Jan - Dec), 2016"
2879,ETHAI BARRAGE ON MANIPUR AT BISHNUPUR DIST.,MANIPUR,2016,25,34,6.2,10.5,6.8,8.2,80,240,1.1,4.3,0,0,,,5,50,2016,"Calendar Year (Jan - Dec), 2016"
2880,NAMBOL AT BISHNUPUR.,MANIPUR,2016,26,30,4.3,9.3,6.9,8.7,53,165,1.2,4.3,0,0,,,20,35,2016,"Calendar Year (Jan - Dec), 2016"
3367,"NONBAH AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,2016,14,25,3.5,6.4,6.6,7.2,60,140,3,4.6,0.3,0.8,150,500,400,980,2016,"Calendar Year (Jan - Dec), 2016"
3368,"NONBAH AT NANGSTOIN MARKE, WEST KHASI HILLS",MEGHALAYA,2016,14,25,6.9,9.2,7,7.4,36,60,1.2,5,0.3,0.5,12,33,20,67,2016,"Calendar Year (Jan - Dec), 2016"
3369,"KYNSHI AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,2016,8,25,7.2,8.8,6.6,72,38,110,1,2,0.3,0.5,12,32,27,60,2016,"Calendar Year (Jan - Dec), 2016"
3370,"KYNSHI AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,2016,15,25,6.6,8.5,7.2,7.6,39,76,1.2,2,0.2,0.5,14,31,28,52,2016,"Calendar Year (Jan - Dec), 2016"
3371,"KYNSHI AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,2016,17,28,0.2,9,7,7.6,50,95,1.2,2.2,0.2,3,16,40,30,79,2016,"Calendar Year (Jan - Dec), 2016"
3372,"RILANG AT MAWKYRWAT, WEST KHASI HILLS",MEGHALAYA,2016,14,24,7.1,8.2,7.1,7.9,29,75,1.4,1.7,0.3,1.6,11,30,26,56,2016,"Calendar Year (Jan - Dec), 2016"
3373,"WAH BLEI AT RIANGDO, WEST KHASI HILLS",MEGHALAYA,2016,14,25,6.9,8.2,6.8,7.5,44,82,1.4,2.3,0.2,0.5,12,31,26,60,2016,"Calendar Year (Jan - Dec), 2016"
3374,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,2016,14,24,6.9,8,6.6,7.7,51,83,1.5,2,0.2,0.6,12,38,27,70,2016,"Calendar Year (Jan - Dec), 2016"
3375,LUKHA AT MYNDIHATI (TRIBUTARY OF LUNAR),MEGHALAYA,2016,17,29,4.2,7.3,2.7,3,132,1560,3,5.4,0.1,1.3,2,9,2,25,2016,"Calendar Year (Jan - Dec), 2016"
3376,LUKHA AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,2016,18,29,6.8,7.6,6.4,8.1,105,480,2,2.8,0.3,0.6,94,220,220,420,2016,"Calendar Year (Jan - Dec), 2016"
3377,"MYNTANG AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,2016,15,25,6.6,8.2,6.6,7.6,29,75,1,6,0.2,0.5,16,46,35,80,2016,"Calendar Year (Jan - Dec), 2016"
3378,"MYNTANG AT MYNSO, JAYANTIA HILLS",MEGHALAYA,2016,14,25,7,8.4,6.8,7.5,39,73,1,2,0.2,0.5,3.3,33,32,74,2016,"Calendar Year (Jan - Dec), 2016"
3380,"DAMRING (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,2016,16,30,6,7.8,7,7.6,40,108,1.5,2.5,0.4,3.7,19,52,40,120,2016,"Calendar Year (Jan - Dec), 2016"
3381,"MANDA (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,2016,16,32,6.2,8,6.8,7.6,38,99,1.4,2.4,0.3,7.1,14,48,32,94,2016,"Calendar Year (Jan - Dec), 2016"
3709,TIAWANG SAIRANG,MIZORAM,2016,15,29,6.4,9.4,7.1,8.2,77,1060,1.3,2.4,0.1,0.4,3.6,93,290,2400,2016,"Calendar Year (Jan - Dec), 2016"
3710,"SERLUI STREAM, REIEK KAI PHE WATER TREATMENT PLANT",MIZORAM,2016,11,26,6.5,8.2,7,8.5,133,655,1.3,1.8,0,0.1,3.6,3.6,150,150,2016,"Calendar Year (Jan - Dec), 2016"
3711,"VAIPUANPHO, REIEK KAI",MIZORAM,2016,13,25,6.6,8.5,6.9,8.9,110,651,1.5,1.9,0,0.1,9.1,9.1,1100,1100,2016,"Calendar Year (Jan - Dec), 2016"
3712,"TUIKUAL STREAM, REIEK KAI",MIZORAM,2016,14,26,4,8.5,6.3,8.9,124,638,1.2,1.9,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3713,"SAKHISIH STREAM,VENGTHLANG",MIZORAM,2016,12,22,3,7.8,6.5,7.6,79,1820,0.5,1.8,0,0.1,3.6,3.6,23,23,2016,"Calendar Year (Jan - Dec), 2016"
3714,TUIRIAL UPSTREAM NEAR SUMNATH VILLAGE,MIZORAM,2016,7,22,6,8.4,6.8,8.7,112,560,0.9,1.8,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3715,"TUIRIAL AIRFIELD, NEAR DUMPING GROUND",MIZORAM,2016,13,28,5.9,8.9,6.6,8.5,111,1510,1.3,2.3,0,0.3,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3716,"DAMDIAI STREAM, AIRFIELD, NEAR DUMPING GROUND",MIZORAM,2016,13,28,5.2,8.1,6.9,8.2,111,1530,0.9,1.9,0,0.2,9.1,9.1,2400,2400,2016,"Calendar Year (Jan - Dec), 2016"
3717,"TUIRIAL AIRFIELD, AFTER DUMPING GROUND",MIZORAM,2016,16,28,4.6,7.7,6.8,8.5,120,1530,1,1.8,0,0.1,3.6,23,75,2400,2016,"Calendar Year (Jan - Dec), 2016"
3718,"CHITE STREAM, ARMED VENG NEAR MINI SPORTS COMPLEX",MIZORAM,2016,14,28,4.2,7.6,7.1,8.3,30,1070,1.1,1.6,0,2.2,15,15,210,210,2016,"Calendar Year (Jan - Dec), 2016"
3719,TUIRINI SELING,MIZORAM,2016,11,29,5.1,9,6.8,7.8,121,573,1.2,1.9,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3720,"TUIVAWL NEAR TUIVAWL BRIDGE, KEIFANG",MIZORAM,2016,11,29,5.2,9.2,6.9,7.8,120,572,1.1,6.8,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3721,"LAWIBUAI STREAM, LAWIBUAL VILLAGE",MIZORAM,2016,11,25,4,7.9,7.1,8.1,26,1850,1.1,1.7,0,0.2,3.6,23,27,460,2016,"Calendar Year (Jan - Dec), 2016"
3723,"TAMDIL LAKE, SAITUAL",MIZORAM,2016,12,28,3.4,9.4,7.2,8.2,117,622,1.3,1.9,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3725,"LUNGLI TUIKHUR, REPUBLIC VENG",MIZORAM,2016,14,22,6.1,8,6.8,7.9,25,1000,1.4,1.8,0,0.1,9.1,9.1,120,460,2016,"Calendar Year (Jan - Dec), 2016"
3726,"RAMHLUN 'S' TUIKHUR, NEAR COMMUNITY HALL",MIZORAM,2016,12,25,4.2,7.8,5.7,8.1,26,1070,1.1,1.7,0,0.1,0,0,460,460,2016,"Calendar Year (Jan - Dec), 2016"
3727,"TUITHANG VENG, TUIKHUR",MIZORAM,2016,13,22,3,7.2,5.1,8,25,1010,1.1,1.4,0,0.1,3.6,9.1,35,93,2016,"Calendar Year (Jan - Dec), 2016"
3728,"KHURPUI TUIKHUR, S HLIMEN",MIZORAM,2016,13,22,5.4,8.4,6.2,8.1,28,1820,1.2,1.9,0,0.1,3.6,21,15,1100,2016,"Calendar Year (Jan - Dec), 2016"
1399,ZUARI D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,2016,25,31.5,3.7,6.5,6.4,8,39,55620,0.9,4.3,0,0.6,1300,7900,1700,11000,2016,"Calendar Year (Jan - Dec), 2016"
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,2016,28.5,33,3.6,7.6,6.1,8.1,680,65410,0.8,3,0,0.6,130,5400,210,9200,2016,"Calendar Year (Jan - Dec), 2016"
1475,ZUARI AT PANCHAWADI,GOA,2016,27.2,33.3,4.7,7.9,6.6,7.4,9,26120,0.5,2.8,0,0.6,330,2300,490,4600,2016,"Calendar Year (Jan - Dec), 2016"
1476,"MANDOVI AT TONCA, MARCELA",GOA,2016,25.7,32.2,4.4,7.6,6.1,7.4,30,53040,0.4,3,0,0.4,490,5400,790,9200,2016,"Calendar Year (Jan - Dec), 2016"
1543,KALNA AT CHANDEL- PERNEM,GOA,2016,24.7,29.5,5.7,8.3,6.7,7.5,23,108,0.6,2,0,0.3,450,3300,780,7900,2016,"Calendar Year (Jan - Dec), 2016"
1544,VALVANT AT SANKLI - BICHOLIM,GOA,2016,25,31.8,6.8,7.8,6,8.9,20,136,0.3,2.6,0,0.2,1300,7900,2300,13000,2016,"Calendar Year (Jan - Dec), 2016"
1545,MADAI AT DABOS - VALPOI,GOA,2016,26.3,32.4,6.3,8,6.4,8.2,34,126,0.4,1.8,0,0.3,78,2200,130,3500,2016,"Calendar Year (Jan - Dec), 2016"
1546,KHANDEPAR AT OPA - PONDA,GOA,2016,26.4,33,5.2,8.4,6.6,8.1,43,145,0.6,2.7,0,0.4,13,790,33,1300,2016,"Calendar Year (Jan - Dec), 2016"
1547,TALPONA AT CANACONA,GOA,2016,26,33.1,6.6,8.9,6.2,9,20,121,0.5,3.4,0,0.5,8,490,23,1300,2016,"Calendar Year (Jan - Dec), 2016"
1548,ASSONORA AT ASSONORA,GOA,2016,25,29.5,5.4,7.2,5.6,8.2,19,99,0.7,2.7,0,0.2,78,2400,330,9200,2016,"Calendar Year (Jan - Dec), 2016"
2270,"KHANDEPAR , U/S CODLI NEAR BRIDGE OPA WATERWORKS, SANGUEM",GOA,2016,26,34.4,6.3,8.7,6.5,9.1,46,191,0.2,3.4,0,0.2,33,2400,70,3500,2016,"Calendar Year (Jan - Dec), 2016"
2271,"SAL PAZORKHONI, CUNCOLIM(NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",GOA,2016,25,30.5,5.3,7.3,5.8,9.3,26,2619,0.7,4.2,0.1,1,1300,11000,2300,14000,2016,"Calendar Year (Jan - Dec), 2016"
2272,"KUSHAWATI NEAR BUND AT KEVONA, RIVON, SANGUEM",GOA,2016,25,32.8,4.8,8.5,6.4,8,52,183,0.4,2.4,0,1,780,7900,1300,13000,2016,"Calendar Year (Jan - Dec), 2016"
2273,"SAL NEAR HOTEL LEELA MOBOR, CAVELOSSIM",GOA,2016,26.8,32.5,2.7,6.8,6.8,8,49,77060,0.5,2.2,0,1.9,130,7900,230,13000,2016,"Calendar Year (Jan - Dec), 2016"
3734,"TLAWNG RIVER, UPSTREAM ZOBAWK, LUNGLEI",MIZORAM,2016,13,25,4.6,9.7,6.8,7.6,56,668,1.4,2.3,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3735,MAT RIVER,MIZORAM,2016,13,26,6.1,10.2,7,7.6,128,676,1.2,2.7,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3736,"TLAWNG PIALTHLENG, ZOTLANG, LUNGLEI",MIZORAM,2016,14,25,6.7,9.3,6.9,8.1,132,664,1.1,2.4,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3737,"VAITUI TUIKHUR, THEIRIAT, LUNGLEI",MIZORAM,2016,12,24,4.6,9.3,6.5,7.4,134,664,0.7,2.2,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3738,"SAP TUIKHUR, SERKAWN NEARBY",MIZORAM,2016,8,23,5.3,8.4,6.4,7.5,128,687,1.3,1.9,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3740,"SAIKAH STREAM, LAWNGTLAI",MIZORAM,2016,15,26,4.2,7.4,6.3,7.8,102,510,0.9,1.5,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3741,"KHUPUI TUIKHUR, LAWNGTLAI",MIZORAM,2016,13,24,5.4,8.9,6.7,7.6,136,526,1.4,2.4,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3743,"PHE RESERVOIR, HELIPAD, NEW SAIHA",MIZORAM,2016,13,22,6.5,8.2,7.1,7.8,107,603,0.5,1.6,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3744,CHHIMTUIPUI KAWLCHAW,MIZORAM,2016,16,25,6.2,9.2,6.7,8.7,121,634,0.8,2.5,0,0.2,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3745,"CHHOCHHOPA TUIKHUR, SAIHA",MIZORAM,2016,14,21,4.6,8.5,6.9,8.1,124,565,1.2,2.3,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3751,TUT RIVER,MIZORAM,2016,14,30,6.5,7.1,6.5,7.6,109,487,0.8,1.5,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3753,"HMAR VENG TUIKHUR, KOLASIB",MIZORAM,2016,15,22,6.1,9.9,5.8,7.8,114,734,1.2,2.7,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3754,TLAWNG D/S BAIRABI,MIZORAM,2016,18,30,6.2,9,6.3,8.7,114,562,0.9,6.7,0.1,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3756,TIAU CHAMPHAI,MIZORAM,2016,15,26,5.2,9.9,7.2,10.1,130,585,0.9,2.9,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
3757,TUIPUI CHAMPHAI,MIZORAM,2016,14,25,6.3,12.4,6,9.7,130,861,0.3,6.8,0,0.1,,,,,2016,"Calendar Year (Jan - Dec), 2016"
2274,MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,GOA,2016,25.7,32,3.2,8.6,6.7,7.3,10,23590,0.9,2.4,0.1,0.6,1300,7900,2300,70000,2016,"Calendar Year (Jan - Dec), 2016"
2275,"CHAPORA NEAR ALORNA FORT , PERNEM",GOA,2016,26,31,6.9,8,6.4,8.5,48,2272,0.5,2,0,0.3,780,4900,1300,9400,2016,"Calendar Year (Jan - Dec), 2016"
2276,"BICHOLIM VARAZAN NAGAR , BICHOLIM",GOA,2016,27.4,32.5,6.2,10,6,7.5,46,2890,0.6,3.1,0.1,0.7,3300,11000,1100,22000,2016,"Calendar Year (Jan - Dec), 2016"
3181,ZUARI AT BORIM BRIDGE,GOA,2016,27.5,33.8,4.1,6.8,6.3,7.5,22,47600,1,3.1,0,0.7,330,7900,490,11000,2016,"Calendar Year (Jan - Dec), 2016"
